"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2011年11月9日","20,014.43","20,067.38","20,173.14","19,967.17","1.94B","1.71%"
"2011年11月8日","19,678.47","19,848.50","19,914.92","19,659.94","1.46B","0.00%"
"2011年11月7日","19,677.89","19,894.22","19,977.09","19,649.57","1.62B","-0.83%"
"2011年11月4日","19,842.79","19,922.77","19,981.52","19,773.31","2.26B","3.12%"
"2011年11月3日","19,242.50","19,418.82","19,541.12","19,142.34","2.14B","-2.49%"
"2011年11月2日","19,733.71","19,091.85","19,745.48","19,024.07","1.96B","1.88%"
"2011年11月1日","19,369.96","19,461.08","19,698.99","19,322.60","1.76B","-2.49%"
"2011年10月31日","19,864.87","20,027.72","20,155.62","19,699.33","1.75B","-0.77%"
"2011年10月28日","20,019.24","20,152.22","20,272.38","19,972.24","3.75B","1.68%"
"2011年10月27日","19,688.70","19,067.59","19,693.19","19,046.47","3.15B","3.26%"
"2011年10月26日","19,066.54","18,727.96","19,106.74","18,705.08","1.68B","0.52%"
"2011年10月25日","18,968.20","18,867.51","18,981.57","18,801.42","1.90B","1.05%"
"2011年10月24日","18,771.82","18,444.16","18,826.85","18,435.41","1.95B","4.14%"
"2011年10月21日","18,025.72","18,034.20","18,082.43","17,926.29","1.07B","0.24%"
"2011年10月20日","17,983.10","18,198.12","18,198.12","17,782.00","1.27B","-1.78%"
"2011年10月19日","18,309.22","18,400.33","18,426.29","18,203.99","1.37B","1.29%"
"2011年10月18日","18,076.46","18,411.40","18,411.40","17,963.26","2.20B","-4.23%"
"2011年10月17日","18,873.99","18,808.66","18,908.17","18,675.81","1.63B","2.01%"
"2011年10月14日","18,501.79","18,639.43","18,665.95","18,367.85","1.49B","-1.36%"
"2011年10月13日","18,757.81","18,601.65","18,758.74","18,453.05","2.34B","2.34%"
"2011年10月12日","18,329.46","17,990.56","18,411.77","17,804.56","2.17B","1.04%"
"2011年10月11日","18,141.59","18,441.87","18,456.16","18,041.70","3.12B","2.43%"
"2011年10月10日","17,711.06","17,853.26","17,859.35","17,437.84","1.78B","0.02%"
"2011年10月7日","17,707.01","17,540.72","17,800.72","17,505.38","2.46B","3.11%"
"2011年10月6日","17,172.28","16,975.00","17,179.93","16,849.45","3.07B","5.67%"
"2011年10月4日","16,250.27","16,731.58","16,840.91","16,170.35","2.86B","-3.40%"
"2011年10月3日","16,822.15","17,179.20","17,179.20","16,717.14","3.23B","-4.38%"
"2011年9月30日","17,592.41","17,946.24","17,946.24","17,502.08","3.58B","-2.32%"
"2011年9月28日","18,011.06","17,962.49","18,101.27","17,843.95","2.51B","-0.66%"
"2011年9月27日","18,130.55","17,818.97","18,136.02","17,769.06","2.66B","4.15%"
"2011年9月26日","17,407.80","17,634.42","17,734.84","16,999.54","3.00B","-1.48%"
"2011年9月23日","17,668.83","17,585.79","17,813.57","17,373.41","3.97B","-1.36%"
"2011年9月22日","17,911.95","18,296.80","18,296.80","17,859.31","2.67B","-4.85%"
