"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年6月8日","9,924.75","9,823.44","9,927.12","9,780.61","1.34B","1.13%"
"2020年6月5日","9,814.08","9,703.54","9,845.69","9,685.35","1.44B","2.06%"
"2020年6月4日","9,615.81","9,649.65","9,716.14","9,560.41","1.29B","-0.69%"
"2020年6月3日","9,682.91","9,651.86","9,707.78","9,627.17","1.01B","0.78%"
"2020年6月2日","9,608.38","9,566.53","9,611.22","9,472.08","908.58M","0.59%"
"2020年6月1日","9,552.05","9,471.42","9,571.28","9,462.32","878.99M","0.66%"
"2020年5月29日","9,489.87","9,382.35","9,505.55","9,324.73","1.45B","1.29%"
"2020年5月28日","9,368.99","9,392.99","9,523.64","9,345.28","877.39M","-0.46%"
"2020年5月27日","9,412.36","9,346.12","9,414.62","9,144.28","951.52M","0.77%"
"2020年5月26日","9,340.22","9,501.21","9,501.21","9,333.16","967.90M","0.17%"
"2020年5月22日","9,324.59","9,278.55","9,328.28","9,239.41","746.03M","0.43%"
"2020年5月21日","9,284.88","9,375.19","9,405.25","9,254.85","785.34M","-0.97%"
"2020年5月20日","9,375.78","9,305.62","9,392.82","9,304.20","938.19M","2.08%"
"2020年5月19日","9,185.10","9,227.46","9,317.25","9,183.25","869.45M","-0.54%"
"2020年5月18日","9,234.83","9,177.15","9,267.22","9,154.35","968.79M","2.44%"
"2020年5月15日","9,014.56","8,839.99","9,018.40","8,821.38","1.03B","0.79%"
"2020年5月14日","8,943.72","8,788.04","8,945.71","8,705.25","883.25M","0.91%"
"2020年5月13日","8,863.17","9,006.05","9,074.16","8,752.68","952.96M","-1.55%"
"2020年5月12日","9,002.55","9,225.15","9,250.96","9,000.07","922.43M","-2.06%"
"2020年5月11日","9,192.34","9,054.91","9,241.92","9,053.17","878.43M","0.78%"
"2020年5月8日","9,121.32","9,056.89","9,125.98","9,018.21","824.61M","1.58%"
"2020年5月7日","8,979.66","8,973.78","9,015.99","8,932.85","831.29M","1.41%"
"2020年5月6日","8,854.39","8,874.70","8,933.25","8,819.37","782.81M","0.51%"
"2020年5月5日","8,809.12","8,809.66","8,909.96","8,781.31","834.18M","1.13%"
"2020年5月4日","8,710.72","8,555.32","8,715.82","8,537.83","806.28M","1.23%"
"2020年5月1日","8,604.95","8,681.29","8,754.46","8,566.84","868.79M","-3.20%"
"2020年4月30日","8,889.55","8,911.01","8,926.11","8,825.83","1.13B","-0.28%"
"2020年4月29日","8,914.71","8,802.70","8,957.26","8,765.01","1.03B","3.57%"
"2020年4月28日","8,607.73","8,825.68","8,830.57","8,600.70","846.78M","-1.40%"
"2020年4月27日","8,730.16","8,717.98","8,754.57","8,697.37","807.92M","1.11%"
"2020年4月24日","8,634.52","8,530.08","8,642.93","8,464.42","797.88M","1.65%"
"2020年4月23日","8,494.75","8,528.84","8,635.23","8,475.20","854.52M","-0.01%"
"2020年4月22日","8,495.38","8,434.55","8,537.31","8,404.54","733.43M","2.81%"
"2020年4月21日","8,263.23","8,460.69","8,480.29","8,215.69","881.56M","-3.48%"
"2020年4月20日","8,560.73","8,553.38","8,684.91","8,553.38","876.31M","-1.03%"
"2020年4月17日","8,650.14","8,667.48","8,670.30","8,531.69","1.06B","1.38%"
"2020年4月16日","8,532.36","8,479.11","8,560.16","8,393.27","919.56M","1.66%"
"2020年4月15日","8,393.18","8,355.96","8,464.66","8,308.79","794.06M","-1.44%"
"2020年4月14日","8,515.74","8,353.21","8,531.11","8,338.08","849.82M","3.95%"
"2020年4月13日","8,192.42","8,127.69","8,200.44","8,035.95","761.87M","0.48%"
"2020年4月9日","8,153.57","8,169.01","8,227.91","8,072.32","925.80M","0.77%"
"2020年4月8日","8,090.90","7,975.72","8,114.43","7,901.94","838.25M","2.58%"
"2020年4月7日","7,887.26","8,129.99","8,146.43","7,881.22","1.00B","-0.33%"
"2020年4月6日","7,913.24","7,660.17","7,938.33","7,617.79","980.15M","7.33%"
"2020年4月3日","7,373.08","7,477.27","7,518.72","7,288.11","836.10M","-1.53%"
"2020年4月2日","7,487.31","7,317.45","7,501.70","7,307.95","912.99M","1.72%"
"2020年4月1日","7,360.58","7,459.50","7,566.37","7,301.98","914.11M","-4.41%"
"2020年3月31日","7,700.10","7,740.06","7,880.31","7,642.86","1.10B","-0.95%"
"2020年3月30日","7,774.15","7,583.46","7,784.35","7,539.97","926.45M","3.62%"
"2020年3月27日","7,502.38","7,554.25","7,716.24","7,491.14","1.00B","-3.79%"
"2020年3月26日","7,797.54","7,462.21","7,809.82","7,462.21","1.01B","5.60%"
"2020年3月25日","7,384.30","7,421.36","7,671.21","7,276.40","1.19B","-0.45%"
"2020年3月24日","7,417.86","7,196.15","7,418.37","7,169.86","1.15B","8.12%"
"2020年3月23日","6,860.67","6,847.28","6,984.94","6,631.42","1.08B","-0.27%"
"2020年3月20日","6,879.52","7,248.07","7,354.44","6,854.67","1.64B","-3.79%"
"2020年3月19日","7,150.58","6,996.45","7,341.38","6,858.38","1.19B","2.30%"
"2020年3月18日","6,989.84","6,902.32","7,182.83","6,686.36","1.26B","-4.70%"
"2020年3月17日","7,334.78","6,904.59","7,406.23","6,828.91","1.29B","6.23%"
"2020年3月16日","6,904.59","7,392.73","7,422.20","6,882.86","1.27B","-12.32%"
"2020年3月13日","7,874.88","7,610.39","7,875.93","7,219.09","1.25B","9.35%"
"2020年3月12日","7,201.80","7,398.58","7,712.33","7,194.67","1.34B","-9.43%"
"2020年3月11日","7,952.05","8,136.25","8,181.36","7,850.94","1.06B","-4.70%"
"2020年3月10日","8,344.25","8,219.76","8,347.40","7,930.43","1.12B","4.95%"
"2020年3月9日","7,950.68","7,957.93","8,243.31","7,943.16","1.20B","-7.29%"
"2020年3月6日","8,575.62","8,469.01","8,612.36","8,375.13","1.05B","-1.86%"
"2020年3月5日","8,738.59","8,790.09","8,921.08","8,677.39","901.11M","-3.10%"
"2020年3月4日","9,018.09","8,834.10","9,019.96","8,757.66","878.06M","3.85%"
"2020年3月3日","8,684.09","8,965.10","9,070.32","8,602.89","1.10B","-2.99%"
"2020年3月2日","8,952.17","8,667.14","8,952.81","8,543.35","1.10B","4.49%"
"2020年2月28日","8,567.37","8,269.74","8,591.82","8,264.16","1.44B","0.01%"
"2020年2月27日","8,566.48","8,744.03","8,904.11","8,562.05","1.15B","-4.61%"
"2020年2月26日","8,980.77","9,011.55","9,148.32","8,927.80","870.35M","0.17%"
"2020年2月25日","8,965.61","9,301.20","9,315.26","8,940.49","871.82M","-2.77%"
"2020年2月24日","9,221.28","9,188.44","9,322.88","9,166.01","795.20M","-3.71%"
"2020年2月21日","9,576.59","9,708.01","9,715.95","9,542.33","699.67M","-1.79%"
"2020年2月20日","9,750.97","9,799.20","9,820.86","9,636.94","646.92M","-0.67%"
"2020年2月19日","9,817.18","9,782.81","9,838.37","9,777.10","580.07M","0.87%"
"2020年2月18日","9,732.74","9,679.04","9,747.68","9,675.80","555.31M","0.02%"
"2020年2月14日","9,731.18","9,728.90","9,746.36","9,693.05","536.34M","0.20%"
"2020年2月13日","9,711.97","9,657.04","9,748.32","9,650.02","545.84M","-0.14%"
"2020年2月12日","9,725.96","9,688.60","9,728.77","9,666.68","589.71M","0.90%"
"2020年2月11日","9,638.94","9,680.89","9,714.74","9,617.21","567.80M","0.11%"
"2020年2月10日","9,628.39","9,493.63","9,628.66","9,493.63","546.60M","1.13%"
"2020年2月7日","9,520.51","9,526.64","9,570.09","9,496.53","549.79M","-0.54%"
"2020年2月6日","9,572.15","9,540.98","9,575.66","9,505.68","582.67M","0.67%"
"2020年2月5日","9,508.68","9,574.10","9,574.93","9,454.93","625.91M","0.43%"
"2020年2月4日","9,467.97","9,398.39","9,485.38","9,374.05","607.83M","2.10%"
"2020年2月3日","9,273.40","9,190.72","9,299.85","9,188.55","623.27M","1.34%"
"2020年1月31日","9,150.94","9,324.33","9,324.80","9,123.22","695.77M","-1.59%"
"2020年1月30日","9,298.93","9,211.15","9,303.00","9,185.18","573.68M","0.26%"
"2020年1月29日","9,275.16","9,318.26","9,329.11","9,249.04","548.87M","0.06%"
"2020年1月28日","9,269.68","9,201.82","9,288.87","9,182.33","530.77M","1.43%"
"2020年1月27日","9,139.31","9,092.46","9,185.45","9,088.04","686.78M","-1.89%"
